Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,1973,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.6,
SURVEY,1981,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,10.7,
SURVEY,2002,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,12.14,
SURVEY,1974,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,13.39,
SURVEY,1975,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,13.41,
SURVEY,1979,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14,
SURVEY,1974,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14.06,
SURVEY,1977,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14.7,
SURVEY,1980,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14.82,
SURVEY,1994,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,15.71,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,HANCOCK,63,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.21,
SURVEY,1980,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.21,
SURVEY,1975,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.83,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.89,
SURVEY,1981,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17,
SURVEY,1982,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17.06,
