Date,Temperature,PrecipIntensity,PrecipProbability,Pressure,Sunlight,DewPoint,County,State
2/1/15,52.02958333,0,0,1020.519583,0.541666667,43.455,Yolo,CA
2/2/15,53.70083333,0,0,1021.007917,0.625,45.67083333,Yolo,CA
2/3/15,55.71833333,0,0,1019.744167,0.625,48.89125,Yolo,CA
2/4/15,54.16833333,0,0,1017.838333,0.666666667,49.03583333,Yolo,CA
2/5/15,53.84875,0,0,1014.792083,0.708333333,48.92875,Yolo,CA
2/6/15,56.96125,0.05825,0.53375,1010.892083,0.458333333,51.5525,Yolo,CA
2/7/15,60.13666667,0.006108333,0.152916667,1016.48875,0.625,56.67916667,Yolo,CA
2/8/15,59.23958333,0.042729167,0.3725,1014.3825,0.583333333,56.25041667,Yolo,CA
2/9/15,58.58791667,0.001833333,0.106666667,1021.507083,0.666666667,51.155,Yolo,CA
2/10/15,52.48666667,4.58E-05,0.007083333,1021.554583,0.833333333,43.96916667,Yolo,CA
2/11/15,53.05166667,5.83E-05,0.007916667,1021.331667,0.833333333,44.47875,Yolo,CA
2/12/15,57.01958333,2.92E-05,0.0075,1022.098333,0.833333333,47.30208333,Yolo,CA
2/13/15,58.0975,1.25E-05,0.00125,1019.961667,0.833333333,49.17708333,Yolo,CA
2/14/15,58.85291667,4.58E-05,0.013333333,1018.516667,0.833333333,49.3975,Yolo,CA
2/15/15,57.44041667,0,0,1016.565,0.833333333,47.30291667,Yolo,CA
2/16/15,58.54166667,2.92E-05,0.005416667,1015.675417,0.833333333,48.61125,Yolo,CA
2/17/15,54.97416667,0,0,1018.52875,0.833333333,49.62833333,Yolo,CA
2/18/15,52.53041667,0,0,1021.329167,0.75,49.61833333,Yolo,CA
2/19/15,53.09666667,2.50E-05,0.005833333,1020,0.708333333,50.99875,Yolo,CA
2/20/15,56.78791667,0,0,1016.671667,0.833333333,50.03416667,Yolo,CA
2/21/15,53.24,0,0,1013.241667,0.833333333,47.45416667,Yolo,CA
2/22/15,55.04583333,1.25E-05,0.002916667,1010.98875,0.916666667,32.91583333,Yolo,CA
2/23/15,53.26958333,0,0,1017.302083,1,20.99333333,Yolo,CA
2/24/15,52.69833333,0.000183333,0.016666667,1025.55625,1.041666667,26.60916667,Yolo,CA
2/25/15,52.55666667,0,0,1022.8575,1.041666667,38.10791667,Yolo,CA
2/26/15,57.11,0,0,1015.392083,1.041666667,41.46583333,Yolo,CA
2/27/15,55.00708333,0,0,1008.199583,0.916666667,43.53166667,Yolo,CA
2/28/15,51.30166667,0,0,1008.775833,0.833333333,42.92958333,Yolo,CA
3/1/15,52.61,8.33E-06,0.002083333,1013.802083,1.083333333,37.17333333,Yolo,CA
3/2/15,52.7925,0,0,1010.65125,0.875,42.3925,Yolo,CA
3/3/15,52.15708333,0,0,1016.009583,1.125,40.21958333,Yolo,CA
3/4/15,52.89916667,0,0,1019.8925,1.208333333,37.12375,Yolo,CA
3/5/15,54.11458333,0,0,1025.932083,1.208333333,38.45125,Yolo,CA
3/6/15,57.23541667,0,0,1023.525,1.208333333,40.00416667,Yolo,CA
3/7/15,58.47916667,0,0,1018.619583,1.25,42.94125,Yolo,CA
3/8/15,59.97217391,0,0,1017.03087,1.304347826,45.27173913,Yolo,CA
3/9/15,60.20125,0,0,1014.865,1.333333333,48.12708333,Yolo,CA
3/10/15,59.91875,0,0,1013.730833,1.333333333,50.30916667,Yolo,CA
3/11/15,59.49791667,0.006729167,0.23375,1019.606667,1,51.42,Yolo,CA
3/12/15,61.54166667,1.67E-05,0.001666667,1022.627083,1.375,49.2075,Yolo,CA
3/13/15,63.90708333,0,0,1020.4,1.375,51.07208333,Yolo,CA
3/14/15,68.32333333,0,0,1017.838333,1.375,55.0825,Yolo,CA
3/15/15,65.84416667,0,0,1016.299167,1.416666667,46.17375,Yolo,CA
3/16/15,60.85916667,5.42E-05,0.004583333,1016.720417,1.375,50.20416667,Yolo,CA
3/17/15,62.76916667,0,0,1017.029167,1.458333333,50.665,Yolo,CA
3/18/15,62.12583333,0,0,1016.270833,1.458333333,43.87833333,Yolo,CA
3/19/15,64.23833333,0,0,1016.323333,1.5,44.995,Yolo,CA
3/20/15,60.30666667,2.50E-05,0.001666667,1018.0525,1.458333333,45.84916667,Yolo,CA
3/21/15,62.21125,0,0,1019.422917,1.541666667,47.45041667,Yolo,CA
3/22/15,60.73416667,9.58E-05,0.007083333,1020.116667,1.291666667,48.89583333,Yolo,CA
3/23/15,58.63833333,0.000125,0.012916667,1023.654167,1.333333333,45.69,Yolo,CA
3/24/15,60.02416667,0.0001125,0.032083333,1024.102083,1.458333333,47.10791667,Yolo,CA
3/25/15,64.05291667,0,0,1021.819583,1.708333333,46.51,Yolo,CA
3/26/15,66.09875,0,0,1019.885,1.75,49.85916667,Yolo,CA
3/27/15,66.39916667,0,0,1018.687083,1.708333333,51.61708333,Yolo,CA
3/28/15,65.6725,0,0,1019.322917,1.791666667,42.00958333,Yolo,CA
3/29/15,66.27458333,0,0,1017.195417,1.791666667,42.22125,Yolo,CA
3/30/15,64.99833333,7.50E-05,0.011666667,1015.44,1.791666667,48.85083333,Yolo,CA
3/31/15,61.92708333,0,0,1018.290833,1.833333333,40.0625,Yolo,CA
4/1/15,58.06125,0,0,1019.496667,1.791666667,30.52166667,Yolo,CA
4/2/15,60.40083333,0,0,1020.4425,1.833333333,29.02541667,Yolo,CA
4/3/15,60.01416667,0,0,1020.487917,1.833333333,32.10291667,Yolo,CA
4/4/15,56.79666667,0,0,1015.685417,1.875,37.31125,Yolo,CA
4/5/15,52.21791667,0.001866667,0.092083333,1012.335,1.291666667,38.66583333,Yolo,CA
4/6/15,51.215,0,0,1013.43,1.458333333,37.82166667,Yolo,CA
4/7/15,50.55041667,0.031816667,0.3825,1011.744583,1.416666667,43.00583333,Yolo,CA
4/8/15,51.11166667,0,0,1020.25875,1.5,41.2375,Yolo,CA
4/9/15,55.30833333,0,0,1016.559167,2,41.55041667,Yolo,CA
4/10/15,59.31791667,0,0,1015.64875,2.041666667,42.685,Yolo,CA
4/11/15,61.07,0,0,1016.0475,2.041666667,42.95625,Yolo,CA
4/12/15,65.31125,0,0,1015.475,2.125,42.67916667,Yolo,CA
4/13/15,61.83083333,0,0,1015.85625,2.208333333,44.77,Yolo,CA
4/14/15,56.61041667,0,0,1023.9175,2.166666667,28.77416667,Yolo,CA
4/15/15,61.98166667,0,0,1019.659167,2.208333333,28.61,Yolo,CA
4/16/15,67.68041667,0,0,1016.118333,2.208333333,29.20791667,Yolo,CA
4/17/15,65.87,0,0,1016.542917,2.25,39.35458333,Yolo,CA
4/18/15,66.755,0,0,1014.425833,2.25,45.4075,Yolo,CA
4/19/15,67.10458333,0,0,1011.31625,2.25,50.09041667,Yolo,CA
4/20/15,63.41958333,0,0,1008.97125,2.333333333,51.21375,Yolo,CA
4/21/15,58.34541667,0,0,1008.839167,2.208333333,49.78708333,Yolo,CA
4/22/15,61.89291667,0,0,1010.250417,2.25,51.35541667,Yolo,CA
4/23/15,62.99458333,0,0,1009.325833,2.333333333,50.49375,Yolo,CA
4/24/15,60.78625,0.001279167,0.067916667,1012.294167,2.25,43.94541667,Yolo,CA
4/25/15,59.68208333,0.013045833,0.262083333,1012.866667,1.916666667,49.1925,Yolo,CA
4/26/15,62.81416667,4.58E-05,0.01,1017.625833,2.416666667,43.87708333,Yolo,CA
4/27/15,72.75916667,0,0,1014.688333,2.416666667,46.99791667,Yolo,CA
4/28/15,67.43333333,0,0,1014.133333,2.416666667,51.50333333,Yolo,CA
4/29/15,67.42708333,0,0,1013.319167,2.458333333,50.86333333,Yolo,CA
4/30/15,74.32958333,0,0,1010.230417,2.5,40.81458333,Yolo,CA
5/1/15,74.345,5.42E-05,0.00125,1009.138333,2.458333333,45.47625,Yolo,CA
5/2/15,67.64416667,0,0,1008.943333,2.5,48.34958333,Yolo,CA
5/3/15,62.38958333,0.0001375,0.004583333,1009.355417,2.541666667,48.67125,Yolo,CA
5/4/15,60.76958333,0,0,1011.571667,2.541666667,48.705,Yolo,CA
5/5/15,62.15166667,0,0,1011.376667,2.5,48.64416667,Yolo,CA
5/6/15,63.48916667,0,0,1009.01875,2.25,44.45708333,Yolo,CA
5/7/15,61.2525,0.002004167,0.078333333,1006.929167,1.833333333,41.11833333,Yolo,CA
5/8/15,60.3325,0,0,1010.96625,2.541666667,44.9575,Yolo,CA
5/9/15,63.0075,0,0,1016.235833,2.541666667,48.71791667,Yolo,CA
5/10/15,62.20583333,0,0,1015.076667,2.541666667,49.05791667,Yolo,CA
5/11/15,61.31916667,0,0,1010.885417,2.625,47.33,Yolo,CA
5/12/15,59.40416667,0,0,1011.139167,2.375,40.705,Yolo,CA
5/13/15,58.78291667,0,0,1012.251667,2.5,42.65625,Yolo,CA
5/14/15,59.13833333,0,0,1009.677083,2.25,45.81083333,Yolo,CA
5/15/15,60.16625,0,0,1010.9275,2.583333333,46.92791667,Yolo,CA
5/16/15,61.67166667,0,0,1013.754583,2.666666667,48.1775,Yolo,CA
5/17/15,60.05333333,0,0,1015.091667,2.458333333,48.71458333,Yolo,CA
5/18/15,60.78833333,0,0,1016.210417,2.541666667,48.83583333,Yolo,CA
5/19/15,62.04416667,0,0,1016.11875,2.666666667,49.355,Yolo,CA
5/20/15,61.45916667,0,0,1012.41375,2.708333333,49.75958333,Yolo,CA
5/21/15,61.67416667,0,0,1012.43625,2.291666667,49.88791667,Yolo,CA
5/22/15,62.67833333,0,0,1014.51875,2.541666667,51.22958333,Yolo,CA
5/23/15,63.81333333,9.17E-05,0.009166667,1016.2825,2.333333333,52.03666667,Yolo,CA
5/24/15,65.97125,0,0,1013.134583,2.583333333,51.80208333,Yolo,CA
5/25/15,62.7875,2.08E-05,0.009166667,1012.042917,2.791666667,51.09291667,Yolo,CA
